confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,,,31598,{},,m Kinyarwanda (PH),31598,31598
,,,,31596,{},,k Kinyarwanda (PH),31596,31596
,,,,31594,{},,i Kinyarwanda (PH),31594,31594
,,,,31588,{},,a Kinyarwanda (PH),31588,31588
,,,,31597,{},,j Kinyarwanda (PH),31597,31597
,,,,31601,{},,p Kinyarwanda (PH),31601,31601
,,,,31604,{},,u Kinyarwanda (PH),31604,31604
,,,,31606,{},,w Kinyarwanda (PH),31606,31606
,,,,31600,{},,n Kinyarwanda (PH),31600,31600
,,,,31602,{},,s Kinyarwanda (PH),31602,31602
,,,,31605,{},,t Kinyarwanda (PH),31605,31605
,,,,31590,{},,b Kinyarwanda (PH),31590,31590
,,,,31599,{},,o Kinyarwanda (PH),31599,31599
,,,,31591,{},,e Kinyarwanda (PH),31591,31591
,,,,31595,{},,h Kinyarwanda (PH),31595,31595
,,,,31580,{},,ɡ Kinyarwanda (PH),31580,31580
,,,,31581,{},,ŋ Kinyarwanda (PH),31581,31581
,,,,31592,{},,d Kinyarwanda (PH),31592,31592
,,,,31582,{},,ɲ Kinyarwanda (PH),31582,31582
,,,,31593,{},,f Kinyarwanda (PH),31593,31593
,,,,31577,{},,t̠ʃ Kinyarwanda (PH),31577,31577
,,,,31562,{},,ʃ Kinyarwanda (PH),31562,31562
,,,,31603,{},,r Kinyarwanda (PH),31603,31603
,,,,31609,{},,z Kinyarwanda (PH),31609,31609
,,,,31576,{},,d̠ʒ Kinyarwanda (PH),31576,31576
,,,,31570,{},,iː Kinyarwanda (PH),31570,31570
,,,,31607,{},,v Kinyarwanda (PH),31607,31607
,,,,31573,{},,aː Kinyarwanda (PH),31573,31573
,,,,31583,{},,uː Kinyarwanda (PH),31583,31583
,,,,31572,{},,ts Kinyarwanda (PH),31572,31572
,,,,31587,{},,oː Kinyarwanda (PH),31587,31587
,,,,31578,{},,eː Kinyarwanda (PH),31578,31578
,,,,31565,{},,kʰ Kinyarwanda (PH),31565,31565
,,,,31589,{},,pʰ Kinyarwanda (PH),31589,31589
,,,,31608,{},,kʷ Kinyarwanda (PH),31608,31608
,,,,31567,{},,ʒ Kinyarwanda (PH),31567,31567
,,,,31574,{},,β Kinyarwanda (PH),31574,31574
,,,,31586,{},,ɗ Kinyarwanda (PH),31586,31586
,,,,31585,{},,dz Kinyarwanda (PH),31585,31585
,,,,31571,{},,ɡʷ Kinyarwanda (PH),31571,31571
,,,,31610,{},,ɽ Kinyarwanda (PH),31610,31610
,,,,31568,{},,ŋʷ Kinyarwanda (PH),31568,31568
,,,,31569,{},,kʲ Kinyarwanda (PH),31569,31569
,,,,31566,{},,hʷ Kinyarwanda (PH),31566,31566
,,,,31584,{},,ɡʲ Kinyarwanda (PH),31584,31584
,,,,31575,{},,pf Kinyarwanda (PH),31575,31575
,,,,31564,{},,hʲ Kinyarwanda (PH),31564,31564
,,,,31563,{},,ɽʰ Kinyarwanda (PH),31563,31563
,,,,31579,{},,ɴ Kinyarwanda (PH),31579,31579
